Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,184.460007,184.940002,181.210007,184.820007,184.820007,40802500
12/4/2018,180.949997,182.389999,176.270004,176.690002,176.690002,41344300
12/6/2018,171.759995,174.779999,170.419998,174.720001,174.720001,43098400
12/7/2018,173.490005,174.490005,168.300003,168.490005,168.490005,42281600
12/10/2018,165,170.089996,163.330002,169.600006,169.600006,62026000
12/11/2018,171.660004,171.789993,167,168.630005,168.630005,47281700
12/12/2018,170.399994,171.919998,169.020004,169.100006,169.100006,35627700
12/13/2018,170.490005,172.570007,169.550003,170.949997,170.949997,31898600
12/14/2018,169,169.080002,165.279999,165.479996,165.479996,40703700
12/17/2018,165.449997,168.350006,162.729996,163.940002,163.940002,44287900
12/18/2018,165.380005,167.529999,164.389999,166.070007,166.070007,33841500
12/19/2018,166,167.449997,159.089996,160.889999,160.889999,49047300
12/20/2018,160.399994,162.110001,155.300003,156.830002,156.830002,64773000
12/21/2018,156.860001,158.160004,149.630005,150.729996,150.729996,95744600
12/24/2018,148.149994,151.550003,146.589996,146.830002,146.830002,37169200
12/26/2018,148.300003,157.229996,146.720001,157.169998,157.169998,58223500
12/27/2018,155.839996,156.210007,151.339996,152.696899,152.696899,18925798
